message_id,site_id,zone,asset_type,sensor,measured_at,value,unit,sequence,topic,received_at,retained
battery-shelter-01-battery_voltage-0000,base-projetee-alpha,battery-shelter-01,drone_battery_storage,battery_voltage,2026-11-09T06:00:00Z,12.6,volt,0,airbase/batch005/battery-shelter-01/battery_voltage/0000,2026-11-12T06:00:00Z,True
battery-shelter-01-battery_voltage-0001,base-projetee-alpha,battery-shelter-01,drone_battery_storage,battery_voltage,2026-11-09T12:00:00Z,12.5,volt,1,airbase/batch005/battery-shelter-01/battery_voltage/0001,2026-11-12T06:00:00Z,True
battery-shelter-01-battery_voltage-0002,base-projetee-alpha,battery-shelter-01,drone_battery_storage,battery_voltage,2026-11-09T18:00:00Z,12.4,volt,2,airbase/batch005/battery-shelter-01/battery_voltage/0002,2026-11-12T06:00:00Z,True
battery-shelter-01-battery_voltage-0003,base-projetee-alpha,battery-shelter-01,drone_battery_storage,battery_voltage,2026-11-09T23:00:00Z,12.4,volt,3,airbase/batch005/battery-shelter-01/battery_voltage/0003,2026-11-12T06:00:00Z,True
battery-shelter-01-battery_voltage-0004,base-projetee-alpha,battery-shelter-01,drone_battery_storage,battery_voltage,2026-11-10T06:00:00Z,12.3,volt,4,airbase/batch005/battery-shelter-01/battery_voltage/0004,2026-11-12T06:00:00Z,True
battery-shelter-01-battery_voltage-0005,base-projetee-alpha,battery-shelter-01,drone_battery_storage,battery_voltage,2026-11-10T12:00:00Z,12.2,volt,5,airbase/batch005/battery-shelter-01/battery_voltage/0005,2026-11-12T06:00:00Z,True
battery-shelter-01-battery_voltage-0006,base-projetee-alpha,battery-shelter-01,drone_battery_storage,battery_voltage,2026-11-10T18:00:00Z,12.1,volt,6,airbase/batch005/battery-shelter-01/battery_voltage/0006,2026-11-12T06:00:00Z,True
battery-shelter-01-battery_voltage-0007,base-projetee-alpha,battery-shelter-01,drone_battery_storage,battery_voltage,2026-11-10T23:00:00Z,12.0,volt,7,airbase/batch005/battery-shelter-01/battery_voltage/0007,2026-11-12T06:00:00Z,True
battery-shelter-01-battery_voltage-0008,base-projetee-alpha,battery-shelter-01,drone_battery_storage,battery_voltage,2026-11-11T06:00:00Z,11.9,volt,8,airbase/batch005/battery-shelter-01/battery_voltage/0008,2026-11-12T06:00:00Z,True
battery-shelter-01-battery_voltage-0009,base-projetee-alpha,battery-shelter-01,drone_battery_storage,battery_voltage,2026-11-11T12:00:00Z,11.7,volt,9,airbase/batch005/battery-shelter-01/battery_voltage/0009,2026-11-12T06:00:00Z,True
battery-shelter-01-battery_voltage-0010,base-projetee-alpha,battery-shelter-01,drone_battery_storage,battery_voltage,2026-11-11T18:00:00Z,11.6,volt,10,airbase/batch005/battery-shelter-01/battery_voltage/0010,2026-11-12T06:00:00Z,True
battery-shelter-01-battery_voltage-0011,base-projetee-alpha,battery-shelter-01,drone_battery_storage,battery_voltage,2026-11-11T23:00:00Z,11.4,volt,11,airbase/batch005/battery-shelter-01/battery_voltage/0011,2026-11-12T06:00:00Z,True
battery-shelter-01-temperature-0000,base-projetee-alpha,battery-shelter-01,drone_battery_storage,temperature,2026-11-09T06:00:00Z,31.0,celsius,0,airbase/batch005/battery-shelter-01/temperature/0000,2026-11-12T06:00:00Z,True
battery-shelter-01-temperature-0001,base-projetee-alpha,battery-shelter-01,drone_battery_storage,temperature,2026-11-09T12:00:00Z,33.0,celsius,1,airbase/batch005/battery-shelter-01/temperature/0001,2026-11-12T06:00:00Z,True
