zone,value,measured_at,retained
zone-nord,19.5,2026-02-02T09:00:00Z,True
zone-nord,20.0,2026-02-02T09:05:00Z,True
zone-nord,20.2,2026-02-02T09:10:00Z,True
zone-nord,19.8,2026-02-02T09:15:00Z,True
zone-nord,20.5,2026-02-02T09:20:00Z,True
zone-nord,20.1,2026-02-02T09:25:00Z,True
zone-sud,20.8,2026-02-02T09:00:00Z,True
zone-sud,21.0,2026-02-02T09:05:00Z,True
zone-sud,21.3,2026-02-02T09:10:00Z,True
zone-sud,20.9,2026-02-02T09:15:00Z,True
zone-sud,21.1,2026-02-02T09:20:00Z,True
zone-sud,21.4,2026-02-02T09:25:00Z,True
zone-est,18.7,2026-02-02T09:00:00Z,True
zone-est,19.0,2026-02-02T09:05:00Z,True
zone-est,19.2,2026-02-02T09:10:00Z,True
zone-est,18.9,2026-02-02T09:15:00Z,True
zone-est,19.1,2026-02-02T09:20:00Z,True
zone-est,19.3,2026-02-02T09:25:00Z,True
zone-centre,22.0,2026-02-02T09:00:00Z,True
zone-centre,22.3,2026-02-02T09:05:00Z,True
zone-centre,22.1,2026-02-02T09:10:00Z,True
zone-centre,22.5,2026-02-02T09:15:00Z,True
zone-centre,22.2,2026-02-02T09:20:00Z,True
zone-centre,22.4,2026-02-02T09:25:00Z,True
zone-ouest,25.0,2026-02-02T09:00:00Z,True
zone-ouest,28.0,2026-02-02T09:05:00Z,True
zone-ouest,31.0,2026-02-02T09:10:00Z,True
zone-ouest,35.0,2026-02-02T09:15:00Z,True
zone-ouest,38.0,2026-02-02T09:20:00Z,True
zone-ouest,40.0,2026-02-02T09:25:00Z,True
