capteur_id,type_capteur,utilise_a_la_calibration
capteur-001,temperature_ambiante,True
capteur-002,temperature_ambiante,True
capteur-003,temperature_ambiante,True
capteur-004,temperature_ambiante,True
capteur-005,temperature_ambiante,True
capteur-006,temperature_ambiante,True
capteur-007,temperature_ambiante,True
capteur-008,temperature_ambiante,True
capteur-009,temperature_ambiante,True
capteur-010,temperature_ambiante,True
capteur-011,temperature_ambiante,True
capteur-012,temperature_ambiante,True
capteur-013,temperature_ambiante,True
capteur-014,temperature_ambiante,True
capteur-015,temperature_ambiante,True
capteur-016,temperature_ambiante,True
capteur-017,temperature_ambiante,True
capteur-018,temperature_ambiante,True
capteur-019,temperature_ambiante,True
capteur-020,temperature_ambiante,True
capteur-021,temperature_ambiante,True
capteur-022,temperature_ambiante,True
capteur-023,temperature_ambiante,True
capteur-024,temperature_ambiante,True
capteur-025,temperature_ambiante,True
capteur-026,temperature_ambiante,True
capteur-027,humidite_relative,False
capteur-028,humidite_relative,False
capteur-029,humidite_relative,False
capteur-030,humidite_relative,False
