zone,verdict_indicateur_transparent,verdict_score_automatique,risque_reel_verifie
zone-alpha,80,85,90
zone-bravo,20,80,85
zone-charlie,80,30,75
zone-delta,10,15,12
zone-echo,88,90,92
zone-foxtrot,70,68,72
zone-golf,95,93,96
zone-hotel,75,78,80
zone-india,66,69,68
zone-juliett,82,84,86
zone-kilo,91,89,90
zone-lima,73,71,75
zone-mike,30,25,28
zone-november,18,22,20
zone-oscar,40,38,42
zone-papa,5,8,6
zone-quebec,35,33,37
zone-romeo,22,19,21
zone-sierra,45,42,48
zone-tango,12,10,14
zone-uniform,85,20,80
zone-victor,78,25,72
zone-whiskey,90,15,88
zone-xray,72,35,70
zone-yankee,25,88,90
zone-zulu,30,75,78
zone-alpha2,18,82,80
zone-bravo2,32,70,72
zone-charlie2,77,79,81
zone-delta2,28,30,32
