zone,value,measured_at,retained
zone-delta,33.0,2026-02-02T09:00:00Z,True
zone-delta,36.0,2026-02-02T09:10:00Z,True
zone-delta,33.0,2026-02-02T09:20:00Z,True
zone-delta,32.0,2026-02-02T09:30:00Z,True
zone-echo,28.5,2026-02-02T09:00:00Z,True
zone-echo,29.0,2026-02-02T09:05:00Z,True
zone-echo,29.3,2026-02-02T09:10:00Z,True
zone-echo,28.8,2026-02-02T09:15:00Z,True
zone-echo,29.1,2026-02-02T09:20:00Z,True
zone-echo,29.4,2026-02-02T09:25:00Z,True
zone-foxtrot,22.0,2026-02-02T09:00:00Z,True
zone-foxtrot,22.4,2026-02-02T09:05:00Z,True
zone-foxtrot,22.2,2026-02-02T09:10:00Z,True
zone-foxtrot,22.6,2026-02-02T09:15:00Z,True
zone-foxtrot,22.3,2026-02-02T09:20:00Z,True
zone-golf,26.0,2026-02-02T09:00:00Z,True
zone-golf,26.5,2026-02-02T09:05:00Z,True
zone-golf,26.3,2026-02-02T09:10:00Z,True
zone-golf,26.7,2026-02-02T09:15:00Z,True
zone-golf,26.4,2026-02-02T09:20:00Z,True
zone-hotel,20.5,2026-02-02T09:00:00Z,True
zone-hotel,20.8,2026-02-02T09:05:00Z,True
zone-hotel,20.6,2026-02-02T09:10:00Z,True
zone-hotel,20.9,2026-02-02T09:15:00Z,True
zone-hotel,20.7,2026-02-02T09:20:00Z,True
zone-india,24.0,2026-02-02T09:00:00Z,True
zone-india,24.3,2026-02-02T09:05:00Z,True
zone-india,24.1,2026-02-02T09:10:00Z,True
zone-india,24.5,2026-02-02T09:15:00Z,True
zone-india,24.2,2026-02-02T09:20:00Z,True
